Population = 100
0 8 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
1 37 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
2 21 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
3 11 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
4 51 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
5 69 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
6 67 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
7 11 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
8 67 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
9 64 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
10 16 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
11 86 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
12 37 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
13 73 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
14 28 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
15 94 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
16 36 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
17 84 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
18 82 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
19 43 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
20 97 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
21 76 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
22 99 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
23 70 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
24 78 F 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
25 22 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
26 48 M 0 -1 -1
1: 1 1 1
2: 1 1 1
3: 1 1 1
4: 1 1 1
5: 1 1 1
6: 1 0 0
7: 1 0 0
